name,format,size,mode,class
00001.jpg,JPEG,"(600, 400)",RGB,Audi TTS Coupe 2012
00002.jpg,JPEG,"(900, 675)",RGB,Acura TL Sedan 2012
00003.jpg,JPEG,"(640, 480)",RGB,Dodge Dakota Club Cab 2007
00004.jpg,JPEG,"(2100, 1386)",RGB,Hyundai Sonata Hybrid Sedan 2012
00005.jpg,JPEG,"(144, 108)",RGB,Ford F-450 Super Duty Crew Cab 2012
00006.jpg,JPEG,"(575, 431)",RGB,Geo Metro Convertible 1993
00007.jpg,JPEG,"(640, 480)",RGB,Dodge Journey SUV 2012
00008.jpg,JPEG,"(639, 480)",RGB,Dodge Charger Sedan 2012
00009.jpg,JPEG,"(1280, 843)",RGB,Mitsubishi Lancer Sedan 2012
00010.jpg,JPEG,"(640, 480)",RGB,Chevrolet Traverse SUV 2012
00011.jpg,JPEG,"(640, 424)",RGB,Buick Verano Sedan 2012
00012.jpg,JPEG,"(500, 315)",RGB,Toyota Sequoia SUV 2012
00013.jpg,JPEG,"(500, 335)",RGB,Hyundai Elantra Sedan 2007
00014.jpg,JPEG,"(800, 600)",RGB,Dodge Caravan Minivan 1997
00015.jpg,JPEG,"(640, 424)",RGB,Volvo C30 Hatchback 2012
00016.jpg,JPEG,"(640, 480)",RGB,Plymouth Neon Coupe 1999
00017.jpg,JPEG,"(259, 194)",RGB,Audi TTS Coupe 2012
00018.jpg,JPEG,"(200, 147)",RGB,Chevrolet Malibu Sedan 2007
00019.jpg,JPEG,"(1500, 938)",RGB,Volkswagen Beetle Hatchback 2012
00020.jpg,JPEG,"(1000, 650)",RGB,Chevrolet Corvette Ron Fellows Edition Z06 2007
00021.jpg,JPEG,"(750, 469)",RGB,Chrysler 300 SRT-8 2010
00022.jpg,JPEG,"(2100, 1386)",RGB,BMW M6 Convertible 2010
00023.jpg,JPEG,"(500, 270)",RGB,GMC Yukon Hybrid SUV 2012
00024.jpg,JPEG,"(1024, 768)",RGB,Nissan Juke Hatchback 2012
00025.jpg,JPEG,"(604, 453)",RGB,Volvo 240 Sedan 1993
00026.jpg,JPEG,"(628, 417)",RGB,Hyundai Sonata Hybrid Sedan 2012
00027.jpg,JPEG,"(630, 418)",RGB,Suzuki SX4 Sedan 2012
